15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,83
1/10/2006 00:15,89
1/10/2006 00:30,70
1/10/2006 00:45,31
1/10/2006 01:00,47
1/10/2006 01:15,35
1/10/2006 01:30,59
1/10/2006 01:45,24
1/10/2006 02:00,37
1/10/2006 02:15,29
1/10/2006 02:30,27
1/10/2006 02:45,30
1/10/2006 03:00,25
1/10/2006 03:15,37
1/10/2006 03:30,12
1/10/2006 03:45,16
1/10/2006 04:00,12
1/10/2006 04:15,16
1/10/2006 04:30,22
1/10/2006 04:45,18
1/10/2006 05:00,16
1/10/2006 05:15,9
1/10/2006 05:30,15
1/10/2006 05:45,21
1/10/2006 06:00,8
1/10/2006 06:15,18
1/10/2006 06:30,17
1/10/2006 06:45,16
1/10/2006 07:00,17
1/10/2006 07:15,40
1/10/2006 07:30,21
1/10/2006 07:45,14
1/10/2006 08:00,36
1/10/2006 08:15,25
1/10/2006 08:30,25
1/10/2006 08:45,37
1/10/2006 09:00,58
1/10/2006 09:15,37
1/10/2006 09:30,61
1/10/2006 09:45,82
1/10/2006 10:00,84
1/10/2006 10:15,85
1/10/2006 10:30,97
1/10/2006 10:45,75
1/10/2006 11:00,126
1/10/2006 11:15,107
1/10/2006 11:30,113
1/10/2006 11:45,156
1/10/2006 12:00,125
1/10/2006 12:15,97
1/10/2006 12:30,114
1/10/2006 12:45,141
1/10/2006 13:00,162
1/10/2006 13:15,118
1/10/2006 13:30,236
1/10/2006 13:45,102
1/10/2006 14:00,118
1/10/2006 14:15,94
1/10/2006 14:30,142
1/10/2006 14:45,173
1/10/2006 15:00,110
1/10/2006 15:15,161
1/10/2006 15:30,212
1/10/2006 15:45,169
1/10/2006 16:00,100
1/10/2006 16:15,126
1/10/2006 16:30,115
1/10/2006 16:45,109
1/10/2006 17:00,113
1/10/2006 17:15,187
1/10/2006 17:30,116
1/10/2006 17:45,113
1/10/2006 18:00,192
1/10/2006 18:15,78
1/10/2006 18:30,76
1/10/2006 18:45,76
1/10/2006 19:00,75
1/10/2006 19:15,96
1/10/2006 19:30,63
1/10/2006 19:45,50
1/10/2006 20:00,131
1/10/2006 20:15,53
1/10/2006 20:30,56
1/10/2006 20:45,42
1/10/2006 21:00,125
1/10/2006 21:15,63
1/10/2006 21:30,44
1/10/2006 21:45,51
1/10/2006 22:00,52
