15 Minutes,Lane 1 Flow (Veh/15 Minutes)
1/10/2006 00:00,37
1/10/2006 00:15,41
1/10/2006 00:30,28
1/10/2006 00:45,24
1/10/2006 01:00,14
1/10/2006 01:15,22
1/10/2006 01:30,14
1/10/2006 01:45,11
1/10/2006 02:00,18
1/10/2006 02:15,18
1/10/2006 02:30,13
1/10/2006 02:45,13
1/10/2006 03:00,12
1/10/2006 03:15,8
1/10/2006 03:30,22
1/10/2006 03:45,15
1/10/2006 04:00,16
1/10/2006 04:15,14
1/10/2006 04:30,7
1/10/2006 04:45,7
1/10/2006 05:00,12
1/10/2006 05:15,3
1/10/2006 05:30,13
1/10/2006 05:45,17
1/10/2006 06:00,17
1/10/2006 06:15,18
1/10/2006 06:30,35
1/10/2006 06:45,16
1/10/2006 07:00,30
1/10/2006 07:15,27
1/10/2006 07:30,47
1/10/2006 07:45,52
1/10/2006 08:00,46
1/10/2006 08:15,49
1/10/2006 08:30,48
1/10/2006 08:45,71
1/10/2006 09:00,86
1/10/2006 09:15,91
1/10/2006 09:30,107
1/10/2006 09:45,125
1/10/2006 10:00,104
1/10/2006 10:15,117
1/10/2006 10:30,128
1/10/2006 10:45,101
1/10/2006 11:00,100
1/10/2006 11:15,128
1/10/2006 11:30,98
1/10/2006 11:45,127
1/10/2006 12:00,110
1/10/2006 12:15,112
1/10/2006 12:30,103
1/10/2006 12:45,92
1/10/2006 13:00,145
1/10/2006 13:15,97
1/10/2006 13:30,124
1/10/2006 13:45,126
1/10/2006 14:00,97
1/10/2006 14:15,107
1/10/2006 14:30,122
1/10/2006 14:45,105
1/10/2006 15:00,114
1/10/2006 15:15,115
1/10/2006 15:30,118
1/10/2006 15:45,81
1/10/2006 16:00,132
1/10/2006 16:15,107
1/10/2006 16:30,109
1/10/2006 16:45,106
1/10/2006 17:00,109
1/10/2006 17:15,88
1/10/2006 17:30,98
1/10/2006 17:45,83
1/10/2006 18:00,109
1/10/2006 18:15,79
1/10/2006 18:30,99
1/10/2006 18:45,85
1/10/2006 19:00,60
1/10/2006 19:15,55
1/10/2006 19:30,63
1/10/2006 19:45,38
1/10/2006 20:00,43
1/10/2006 20:15,39
1/10/2006 20:30,40
1/10/2006 20:45,28
1/10/2006 21:00,48
1/10/2006 21:15,41
1/10/2006 21:30,53
1/10/2006 21:45,46
1/10/2006 22:00,21
1/10/2006 22:15,32
1/10/2006 22:30,31
1/10/2006 22:45,18
1/10/2006 23:00,16
1/10/2006 23:15,10
1/10/2006 23:30,16
1/10/2006 23:45,8
2/10/2006 00:00,11
2/10/2006 00:15,5
2/10/2006 00:30,8
2/10/2006 00:45,5
2/10/2006 01:00,10
2/10/2006 01:15,8
2/10/2006 01:30,6
2/10/2006 01:45,4
2/10/2006 02:00,1
2/10/2006 02:15,5
2/10/2006 02:30,1
2/10/2006 02:45,8
2/10/2006 03:00,9
2/10/2006 03:15,3
2/10/2006 03:30,8
2/10/2006 03:45,11
2/10/2006 04:00,6
2/10/2006 04:15,8
2/10/2006 04:30,4
2/10/2006 04:45,3
2/10/2006 05:00,11
2/10/2006 05:15,12
2/10/2006 05:30,33
2/10/2006 05:45,32
2/10/2006 06:00,44
2/10/2006 06:15,60
2/10/2006 06:30,99
2/10/2006 06:45,140
2/10/2006 07:00,222
2/10/2006 07:15,300
2/10/2006 07:30,205
2/10/2006 07:45,217
2/10/2006 08:00,212
2/10/2006 08:15,235
2/10/2006 08:30,205
2/10/2006 08:45,198
2/10/2006 09:00,125
2/10/2006 09:15,144
2/10/2006 09:30,173
2/10/2006 09:45,132
2/10/2006 10:00,110
2/10/2006 10:15,132
2/10/2006 10:30,96
2/10/2006 10:45,105
2/10/2006 11:00,102
2/10/2006 11:15,105
2/10/2006 11:30,103
2/10/2006 11:45,95
2/10/2006 12:00,109
2/10/2006 12:15,93
2/10/2006 12:30,110
2/10/2006 12:45,102
2/10/2006 13:00,91
2/10/2006 13:15,126
2/10/2006 13:30,98
2/10/2006 13:45,99
2/10/2006 14:00,110
2/10/2006 14:15,130
2/10/2006 14:30,96
2/10/2006 14:45,117
2/10/2006 15:00,148
2/10/2006 15:15,95
2/10/2006 15:30,124
2/10/2006 15:45,159
2/10/2006 16:00,108
2/10/2006 16:15,122
2/10/2006 16:30,120
2/10/2006 16:45,131
2/10/2006 17:00,103
2/10/2006 17:15,104
2/10/2006 17:30,113
2/10/2006 17:45,100
2/10/2006 18:00,127
2/10/2006 18:15,122
2/10/2006 18:30,119
2/10/2006 18:45,114
2/10/2006 19:00,110
2/10/2006 19:15,93
2/10/2006 19:30,76
2/10/2006 19:45,65
2/10/2006 20:00,72
2/10/2006 20:15,35
2/10/2006 20:30,59
2/10/2006 20:45,42
2/10/2006 21:00,55
2/10/2006 21:15,40
2/10/2006 21:30,53
2/10/2006 21:45,51
2/10/2006 22:00,48
2/10/2006 22:15,33
2/10/2006 22:30,30
2/10/2006 22:45,34
2/10/2006 23:00,31
2/10/2006 23:15,12
2/10/2006 23:30,9
2/10/2006 23:45,11
3/10/2006 00:00,9
3/10/2006 00:15,6
3/10/2006 00:30,2
3/10/2006 00:45,0
3/10/2006 01:00,4
3/10/2006 01:15,7
